Date,Ticker,Sector,Close,Volume
1/2/2020,NVDA,Semiconductors,5.997749805,237536000
1/3/2020,NVDA,Semiconductors,5.901750088,205384000
1/6/2020,NVDA,Semiconductors,5.926499844,262636000
1/7/2020,NVDA,Semiconductors,5.998250008,314856000
1/8/2020,NVDA,Semiconductors,6.009500027,277108000
1/9/2020,NVDA,Semiconductors,6.075500011,255112000
1/10/2020,NVDA,Semiconductors,6.107999802,316296000
1/13/2020,NVDA,Semiconductors,6.299499989,319840000
1/14/2020,NVDA,Semiconductors,6.18200016,359088000
1/15/2020,NVDA,Semiconductors,6.139249802,263104000
1/16/2020,NVDA,Semiconductors,6.223249912,253104000
1/17/2020,NVDA,Semiconductors,6.231999874,253792000
1/21/2020,NVDA,Semiconductors,6.198500156,217916000
1/22/2020,NVDA,Semiconductors,6.25274992,239240000
1/23/2020,NVDA,Semiconductors,6.321499825,244516000
1/24/2020,NVDA,Semiconductors,6.262000084,373512000
1/27/2020,NVDA,Semiconductors,6.005000114,470536000
1/28/2020,NVDA,Semiconductors,6.199250221,310976000
1/29/2020,NVDA,Semiconductors,6.138500214,258848000
1/30/2020,NVDA,Semiconductors,6.145249844,290504000
1/31/2020,NVDA,Semiconductors,5.910749912,370420000
2/3/2020,NVDA,Semiconductors,6.008250237,255564000
2/4/2020,NVDA,Semiconductors,6.178249836,271544000
2/5/2020,NVDA,Semiconductors,6.269000053,208220000
2/6/2020,NVDA,Semiconductors,6.356249809,218284000
2/7/2020,NVDA,Semiconductors,6.289750099,189752000
2/10/2020,NVDA,Semiconductors,6.574250221,529608000
2/11/2020,NVDA,Semiconductors,6.697249889,638556000
2/12/2020,NVDA,Semiconductors,6.813499928,374644000
2/13/2020,NVDA,Semiconductors,6.769499779,528016000
2/14/2020,NVDA,Semiconductors,7.244750023,1041924000
2/18/2020,NVDA,Semiconductors,7.414249897,620164000
2/19/2020,NVDA,Semiconductors,7.867499828,694332000
2/20/2020,NVDA,Semiconductors,7.71750021,810052000
2/21/2020,NVDA,Semiconductors,7.351749897,768180000
2/24/2020,NVDA,Semiconductors,6.831999779,856916000
2/25/2020,NVDA,Semiconductors,6.551249981,1055496000
2/26/2020,NVDA,Semiconductors,6.691249847,747732000
2/27/2020,NVDA,Semiconductors,6.315000057,906416000
2/28/2020,NVDA,Semiconductors,6.751749992,1133252000
3/2/2020,NVDA,Semiconductors,6.910749912,890744000
3/3/2020,NVDA,Semiconductors,6.647250175,652792000
3/4/2020,NVDA,Semiconductors,7.112750053,597408000
3/5/2020,NVDA,Semiconductors,6.832250118,540328000
3/6/2020,NVDA,Semiconductors,6.651000023,515412000
3/9/2020,NVDA,Semiconductors,6.136000156,614160000
3/10/2020,NVDA,Semiconductors,6.52699995,580648000
3/11/2020,NVDA,Semiconductors,6.16174984,499964000
3/12/2020,NVDA,Semiconductors,5.40775013,816540000
3/13/2020,NVDA,Semiconductors,6.020999908,634836000
3/16/2020,NVDA,Semiconductors,4.909999847,726972000
3/17/2020,NVDA,Semiconductors,5.431749821,833632000
3/18/2020,NVDA,Semiconductors,5.070499897,874268000
3/19/2020,NVDA,Semiconductors,5.324250221,765512000
3/20/2020,NVDA,Semiconductors,5.143750191,804636000
3/23/2020,NVDA,Semiconductors,5.317249775,643876000
3/24/2020,NVDA,Semiconductors,6.229499817,1101644000
3/25/2020,NVDA,Semiconductors,6.140500069,793432000
3/26/2020,NVDA,Semiconductors,6.431000233,696108000
3/27/2020,NVDA,Semiconductors,6.318250179,638828000
3/30/2020,NVDA,Semiconductors,6.639750004,602252000
3/31/2020,NVDA,Semiconductors,6.590000153,949960000
4/1/2020,NVDA,Semiconductors,6.076749802,656912000
4/2/2020,NVDA,Semiconductors,6.386750221,675764000
4/3/2020,NVDA,Semiconductors,6.097750187,663212000
4/6/2020,NVDA,Semiconductors,6.710000038,727884000
4/7/2020,NVDA,Semiconductors,6.475749969,784520000
4/8/2020,NVDA,Semiconductors,6.673749924,542444000
4/9/2020,NVDA,Semiconductors,6.573750019,525564000
4/13/2020,NVDA,Semiconductors,6.746250153,398408000
4/14/2020,NVDA,Semiconductors,7.098750114,530948000
4/15/2020,NVDA,Semiconductors,7.020999908,366148000
4/16/2020,NVDA,Semiconductors,7.367499828,745620000
4/17/2020,NVDA,Semiconductors,7.308000088,539120000
4/20/2020,NVDA,Semiconductors,7.176249981,449388000
4/21/2020,NVDA,Semiconductors,6.737750053,735160000
4/22/2020,NVDA,Semiconductors,7.153749943,483356000
4/23/2020,NVDA,Semiconductors,7.100249767,424160000
4/24/2020,NVDA,Semiconductors,7.239749908,352328000
4/27/2020,NVDA,Semiconductors,7.427000046,479388000
4/28/2020,NVDA,Semiconductors,7.28399992,442904000
4/29/2020,NVDA,Semiconductors,7.461500168,379160000
4/30/2020,NVDA,Semiconductors,7.30700016,375916000
5/1/2020,NVDA,Semiconductors,7.069499969,342096000
5/4/2020,NVDA,Semiconductors,7.282249928,317556000
5/5/2020,NVDA,Semiconductors,7.343500137,368896000
5/6/2020,NVDA,Semiconductors,7.444749832,323464000
5/7/2020,NVDA,Semiconductors,7.621749878,373732000
5/8/2020,NVDA,Semiconductors,7.8125,339216000
